ensembl_gene_id,gene_biotype
ENSMUSG00000002032,protein_coding
ENSMUSG00000003934,protein_coding
ENSMUSG00000004473,protein_coding
ENSMUSG00000004500,protein_coding
ENSMUSG00000006958,protein_coding
ENSMUSG00000013707,protein_coding
ENSMUSG00000019102,protein_coding
ENSMUSG00000019726,protein_coding
ENSMUSG00000019852,protein_coding
ENSMUSG00000020067,protein_coding
ENSMUSG00000020681,protein_coding
ENSMUSG00000020684,protein_coding
ENSMUSG00000020698,protein_coding
ENSMUSG00000020846,protein_coding
ENSMUSG00000020901,protein_coding
ENSMUSG00000020940,protein_coding
ENSMUSG00000021108,protein_coding
ENSMUSG00000021213,protein_coding
ENSMUSG00000021838,protein_coding
ENSMUSG00000022054,protein_coding
ENSMUSG00000022236,protein_coding
ENSMUSG00000022324,protein_coding
ENSMUSG00000022425,protein_coding
ENSMUSG00000022615,protein_coding
ENSMUSG00000022687,protein_coding
ENSMUSG00000022738,protein_coding
ENSMUSG00000022783,protein_coding
ENSMUSG00000023019,protein_coding
ENSMUSG00000023467,protein_coding
ENSMUSG00000023868,protein_coding
ENSMUSG00000023947,protein_coding
ENSMUSG00000024053,protein_coding
ENSMUSG00000024347,protein_coding
ENSMUSG00000024386,protein_coding
ENSMUSG00000024451,protein_coding
ENSMUSG00000024620,protein_coding
ENSMUSG00000024697,protein_coding
ENSMUSG00000024987,protein_coding
ENSMUSG00000025094,protein_coding
ENSMUSG00000025262,protein_coding
ENSMUSG00000025592,protein_coding
ENSMUSG00000025658,protein_coding
ENSMUSG00000025790,protein_coding
ENSMUSG00000025931,protein_coding
ENSMUSG00000025983,protein_coding
ENSMUSG00000026532,protein_coding
ENSMUSG00000026890,protein_coding
ENSMUSG00000027107,protein_coding
ENSMUSG00000027220,protein_coding
ENSMUSG00000027376,protein_coding
ENSMUSG00000027377,protein_coding
ENSMUSG00000027508,protein_coding
ENSMUSG00000027525,protein_coding
ENSMUSG00000027692,protein_coding
ENSMUSG00000027765,protein_coding
ENSMUSG00000027792,protein_coding
ENSMUSG00000027863,protein_coding
ENSMUSG00000028546,protein_coding
ENSMUSG00000028655,protein_coding
ENSMUSG00000028950,protein_coding
ENSMUSG00000029135,protein_coding
ENSMUSG00000029231,protein_coding
ENSMUSG00000029561,protein_coding
ENSMUSG00000029656,protein_coding
ENSMUSG00000029829,protein_coding
ENSMUSG00000029843,protein_coding
ENSMUSG00000029844,protein_coding
ENSMUSG00000029875,protein_coding
ENSMUSG00000029919,protein_coding
ENSMUSG00000029999,protein_coding
ENSMUSG00000030486,protein_coding
ENSMUSG00000030790,protein_coding
ENSMUSG00000030806,protein_coding
ENSMUSG00000030882,protein_coding
ENSMUSG00000031022,protein_coding
ENSMUSG00000031538,protein_coding
ENSMUSG00000031688,protein_coding
ENSMUSG00000031778,protein_coding
ENSMUSG00000031847,protein_coding
ENSMUSG00000032191,protein_coding
ENSMUSG00000032271,protein_coding
ENSMUSG00000032323,protein_coding
ENSMUSG00000032334,protein_coding
ENSMUSG00000032766,protein_coding
ENSMUSG00000032889,protein_coding
ENSMUSG00000033036,protein_coding
ENSMUSG00000033427,protein_coding
ENSMUSG00000033578,protein_coding
ENSMUSG00000033615,protein_coding
ENSMUSG00000033634,protein_coding
ENSMUSG00000033805,protein_coding
ENSMUSG00000033860,protein_coding
ENSMUSG00000034059,protein_coding
ENSMUSG00000034110,protein_coding
ENSMUSG00000034161,protein_coding
ENSMUSG00000034701,protein_coding
ENSMUSG00000034777,protein_coding
ENSMUSG00000034855,protein_coding
ENSMUSG00000034981,protein_coding
ENSMUSG00000035560,protein_coding
ENSMUSG00000035948,protein_coding
ENSMUSG00000035984,protein_coding
ENSMUSG00000036256,protein_coding
ENSMUSG00000036585,protein_coding
ENSMUSG00000036699,protein_coding
ENSMUSG00000036745,protein_coding
ENSMUSG00000037010,protein_coding
ENSMUSG00000037797,protein_coding
ENSMUSG00000037887,protein_coding
ENSMUSG00000039198,protein_coding
ENSMUSG00000039236,protein_coding
ENSMUSG00000039519,protein_coding
ENSMUSG00000039628,protein_coding
ENSMUSG00000039853,protein_coding
ENSMUSG00000039982,protein_coding
ENSMUSG00000040147,protein_coding
ENSMUSG00000040258,protein_coding
ENSMUSG00000040471,protein_coding
ENSMUSG00000040653,protein_coding
ENSMUSG00000040891,protein_coding
ENSMUSG00000041120,protein_coding
ENSMUSG00000041991,protein_coding
ENSMUSG00000042109,protein_coding
ENSMUSG00000042213,protein_coding
ENSMUSG00000042372,protein_coding
ENSMUSG00000042386,protein_coding
ENSMUSG00000042757,protein_coding
ENSMUSG00000043153,protein_coding
ENSMUSG00000043336,protein_coding
ENSMUSG00000043410,protein_coding
ENSMUSG00000043999,protein_coding
ENSMUSG00000044165,protein_coding
ENSMUSG00000044296,protein_coding
ENSMUSG00000044468,protein_coding
ENSMUSG00000044576,protein_coding
ENSMUSG00000045639,protein_coding
ENSMUSG00000045664,protein_coding
ENSMUSG00000045775,protein_coding
ENSMUSG00000045827,protein_coding
ENSMUSG00000046442,protein_coding
ENSMUSG00000046719,protein_coding
ENSMUSG00000047712,protein_coding
ENSMUSG00000047730,protein_coding
ENSMUSG00000047810,protein_coding
ENSMUSG00000049556,protein_coding
ENSMUSG00000050105,protein_coding
ENSMUSG00000050675,protein_coding
ENSMUSG00000051098,protein_coding
ENSMUSG00000051435,protein_coding
ENSMUSG00000051998,protein_coding
ENSMUSG00000052131,protein_coding
ENSMUSG00000052673,protein_coding
ENSMUSG00000052726,protein_coding
ENSMUSG00000053046,protein_coding
ENSMUSG00000054083,protein_coding
ENSMUSG00000054939,protein_coding
ENSMUSG00000054945,protein_coding
ENSMUSG00000054951,protein_coding
ENSMUSG00000055733,protein_coding
ENSMUSG00000056043,protein_coding
ENSMUSG00000058420,protein_coding
ENSMUSG00000058571,protein_coding
ENSMUSG00000058932,protein_coding
ENSMUSG00000059334,protein_coding
ENSMUSG00000060445,protein_coding
ENSMUSG00000060512,protein_coding
ENSMUSG00000061619,protein_coding
ENSMUSG00000062252,protein_coding
ENSMUSG00000064220,protein_coding
ENSMUSG00000066319,protein_coding
ENSMUSG00000066952,protein_coding
ENSMUSG00000067276,protein_coding
ENSMUSG00000067608,protein_coding
ENSMUSG00000068263,protein_coding
ENSMUSG00000068299,protein_coding
ENSMUSG00000068893,protein_coding
ENSMUSG00000069302,protein_coding
ENSMUSG00000069303,protein_coding
ENSMUSG00000069920,protein_coding
ENSMUSG00000070476,protein_coding
ENSMUSG00000070509,protein_coding
ENSMUSG00000070570,protein_coding
ENSMUSG00000070604,protein_coding
ENSMUSG00000070713,protein_coding
ENSMUSG00000071052,protein_coding
ENSMUSG00000071073,protein_coding
ENSMUSG00000071273,protein_coding
ENSMUSG00000071317,protein_coding
ENSMUSG00000071613,protein_coding
ENSMUSG00000072115,protein_coding
ENSMUSG00000072214,protein_coding
ENSMUSG00000072476,protein_coding
ENSMUSG00000073027,protein_coding
ENSMUSG00000073063,protein_coding
ENSMUSG00000078134,protein_coding
ENSMUSG00000078184,protein_coding
ENSMUSG00000078512,protein_coding
ENSMUSG00000078889,protein_coding
ENSMUSG00000078963,protein_coding
ENSMUSG00000079387,protein_coding
ENSMUSG00000079941,protein_coding
ENSMUSG00000081984,protein_coding
ENSMUSG00000087119,protein_coding
ENSMUSG00000090035,protein_coding
ENSMUSG00000090173,protein_coding
ENSMUSG00000090551,protein_coding
ENSMUSG00000090981,protein_coding
ENSMUSG00000091080,protein_coding
ENSMUSG00000091387,protein_coding
ENSMUSG00000091415,protein_coding
ENSMUSG00000091900,protein_coding
ENSMUSG00000092116,protein_coding
ENSMUSG00000092586,protein_coding
ENSMUSG00000093456,protein_coding
ENSMUSG00000093536,protein_coding
ENSMUSG00000093769,protein_coding
ENSMUSG00000094690,protein_coding
ENSMUSG00000096154,protein_coding
ENSMUSG00000096793,protein_coding
ENSMUSG00000096968,protein_coding
ENSMUSG00000097078,protein_coding
ENSMUSG00000097221,protein_coding
ENSMUSG00000097427,protein_coding
ENSMUSG00000097929,protein_coding
ENSMUSG00000098387,protein_coding
ENSMUSG00000099908,protein_coding
ENSMUSG00000101436,protein_coding
ENSMUSG00000102742,protein_coding
ENSMUSG00000105204,protein_coding
ENSMUSG00000107877,protein_coding
ENSMUSG00000107906,protein_coding
ENSMUSG00000108900,protein_coding
